1, 32, 2, 3743.744, 6473.728
1, 32, 4, 4031.488, 6852.608
1, 32, 8, 4184.064, 7570.432
1, 32, 16, 5385.216, 8864.768
1, 32, 32, 7081.984, 12984.32
2, 32, 64, 8231.936, 21884.928
4, 32, 128, 12473.344, 40129.536
8, 32, 256, 19751.936, 71449.6
16, 32, 512, 34623.488, 133775.36
32, 32, 1024, 65939.456, 264175.616
64, 32, 2048, 129665.024, 526183.424
128, 32, 4096, 265961.472, 1.048814592e+06
256, 32, 8192, 591080.448, 2.095842304e+06
512, 32, 16384, 1.59952384e+06, 4.187053056e+06
1024, 32, 32768, 6.106235904e+06, 8.372361216e+06
2048, 32, 65536, 2.3444320256e+07, 1.6755217408e+07
4096, 32, 131072, 8.8258331648e+07, 3.3973382144e+07
8192, 32, 262144, 3.46845939712e+08, 6.8327187456e+07
1, 64, 2, 3451.904, 6281.216
1, 64, 4, 3636.224, 6437.888
1, 64, 8, 3989.504, 7003.136
1, 64, 16, 4974.592, 8193.024
1, 64, 32, 6664.192, 11681.792
1, 64, 64, 10087.424, 19740.672
2, 64, 128, 11401.216, 36117.504
4, 64, 256, 19296.256, 68642.816
8, 64, 512, 35230.72, 133964.8
16, 64, 1024, 67216.384, 264325.12
32, 64, 2048, 131585.024, 526202.88
64, 64, 4096, 268491.776, 1.049524224e+06
128, 64, 8192, 577473.536, 2.095844352e+06
256, 64, 16384, 1.499661312e+06, 4.189357056e+06
512, 64, 32768, 5.464399872e+06, 8.374555648e+06
1024, 64, 65536, 2.1976656896e+07, 1.6772074496e+07
2048, 64, 131072, 8.6178244608e+07, 3.3997694976e+07
4096, 64, 262144, 3.3361206784e+08, 6.7946582016e+07
1, 128, 2, 3184.64, 6321.152
1, 128, 4, 3376.128, 6349.824
1, 128, 8, 4214.784, 6792.192
1, 128, 16, 5141.504, 8141.824
1, 128, 32, 6759.424, 11993.088
1, 128, 64, 9914.368, 19673.088
1, 128, 128, 17804.288, 36177.92
2, 128, 256, 19131.392, 68750.336
4, 128, 512, 35038.208, 133870.592
8, 128, 1024, 66634.752, 264255.488
16, 128, 2048, 129618.944, 525904.896
32, 128, 4096, 264617.984, 1.049228288e+06
64, 128, 8192, 568341.504, 2.095922176e+06
128, 128, 16384, 1.455993856e+06, 4.188381184e+06
256, 128, 32768, 5.333484544e+06, 8.374764544e+06
512, 128, 65536, 2.1883579392e+07, 1.6762912768e+07
1024, 128, 131072, 8.3888479232e+07, 3.3992592384e+07
2048, 128, 262144, 3.2673193984e+08, 6.7782116352e+07
1, 256, 2, 3418.112, 6372.352
1, 256, 4, 3596.288, 6639.616
1, 256, 8, 3756.032, 7129.088
1, 256, 16, 5151.744, 8075.264
1, 256, 32, 6471.68, 11680.768
1, 256, 64, 10342.4, 19654.656
1, 256, 128, 16954.368, 36148.224
1, 256, 256, 21453.824, 68720.64
2, 256, 512, 35922.944, 133970.944
4, 256, 1024, 68129.792, 264251.392
8, 256, 2048, 132958.208, 525776.896
16, 256, 4096, 263394.304, 1.049781248e+06
32, 256, 8192, 563105.792, 2.09629184e+06
64, 256, 16384, 1.578001408e+06, 4.188023808e+06
128, 256, 32768, 5.533193216e+06, 8.374801408e+06
256, 256, 65536, 2.2341682176e+07, 1.6756636672e+07
512, 256, 131072, 8.669164544e+07, 3.394955776e+07
1024, 256, 262144, 3.2958218752e+08, 6.77216256e+07
1, 512, 2, 3223.552, 6144
1, 512, 4, 3535.872, 6427.648
1, 512, 8, 4232.192, 6803.456
1, 512, 16, 4697.088, 8171.52
1, 512, 32, 7066.624, 12006.4
1, 512, 64, 9671.68, 19830.784
1, 512, 128, 16866.304, 36007.936
1, 512, 256, 21325.824, 68534.272
1, 512, 512, 41131.008, 132517.888
2, 512, 1024, 70341.632, 261570.56
4, 512, 2048, 138452.992, 520992.768
8, 512, 4096, 276490.24, 1.041630208e+06
16, 512, 8192, 556678.144, 2.080520192e+06
32, 512, 16384, 1.566636032e+06, 4.157727744e+06
64, 512, 32768, 6.19121664e+06, 8.3131904e+06
128, 512, 65536, 2.1806917632e+07, 1.6711355392e+07
256, 512, 131072, 8.2153345024e+07, 3.3964286976e+07
512, 512, 262144, 3.2859104256e+08, 6.7640393728e+07
1, 1024, 2, 3281.92, 6268.928
1, 1024, 4, 3184.64, 6513.664
1, 1024, 8, 4085.76, 6942.72
1, 1024, 16, 5321.728, 8091.648
1, 1024, 32, 6933.504, 11689.984
1, 1024, 64, 10736.64, 19712
1, 1024, 128, 17024, 35878.912
1, 1024, 256, 21187.584, 68276.224
1, 1024, 512, 41764.864, 133251.072
1, 1024, 1024, 117215.232, 263010.304
2, 1024, 2048, 200513.536, 522523.648
4, 1024, 4096, 396640.256, 1.042281472e+06
8, 1024, 8192, 787655.68, 2.08116224e+06
16, 1024, 16384, 1.58518272e+06, 4.1576704e+06
32, 1024, 32768, 6.296071168e+06, 8.310173696e+06
64, 1024, 65536, 2.4651721728e+07, 1.6658127872e+07
128, 1024, 131072, 8.8312155136e+07, 3.38129152e+07
256, 1024, 262144, 3.41629268992e+08, 6.732653056e+07
